Value,en,fr,Disaggregation combinations using this value,Number of indicators
Accommodation and food services (NAICS 72),Accommodation and food services (NAICS 72),Services d'hébergement et de restauration (SCIAN 72),4,1
Advanced manufacturing,Advanced manufacturing,Fabrication de pointe,4,1
Advanced technology,Advanced technology,Technologie de pointe,4,1
Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,Fabrication de produits aérospatiaux et de leurs pièces,7,1
"Agricultural, construction and mining machinery manufacturing","Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",10,1
Alumina and aluminum production and processing,Alumina and aluminum production and processing,Production et transformation d'alumine et d'aluminium,3,1
Animal food manufacturing,Animal food manufacturing,Fabrication d'aliments pour animaux,9,1
Apparel knitting mills,Apparel knitting mills,Usines de tricotage de vêtements,3,1
Apparel manufacturing,Apparel manufacturing,Fabrication de vêtements,10,1
Architectural and structural metals manufacturing,Architectural and structural metals manufacturing,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,10,1
Audio and video equipment manufacturing,Audio and video equipment manufacturing,Fabrication de matériel audio et vidéo,4,1
Bakeries and tortilla manufacturing,Bakeries and tortilla manufacturing,Boulangeries et fabrication de tortillas,10,1
Basic chemical manufacturing,Basic chemical manufacturing,Fabrication de produits chimiques de base,10,1
Basic metals,Basic metals,Métaux de base,6,1
Beverage and tobacco product manufacturing,Beverage and tobacco product manufacturing,Fabrication de boissons et de produits du tabac,12,1
Beverage manufacturing,Beverage manufacturing,Fabrication de boissons,8,1
Beverages,Beverages,Boissons,6,1
"Boiler, tank and shipping container manufacturing","Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",8,1
Cannabis product manufacturing,Cannabis product manufacturing,Fabrication de produits du cannabis,1,1
Cement and concrete product manufacturing,Cement and concrete product manufacturing,Fabrication de ciment et de produits en béton,11,1
Chemical manufacturing,Chemical manufacturing,Fabrication de produits chimiques,10,1
Clay product and refractory manufacturing,Clay product and refractory manufacturing,Fabrication de produits en argile et produits réfractaires,5,1
Clothing accessories and other clothing manufacturing,Clothing accessories and other clothing manufacturing,Fabrication d'accessoires vestimentaires et d'autres vêtements,3,1
"Coating, engraving, cold and heat treating and allied activities","Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",8,1
Coke and refined petroleum products,Coke and refined petroleum products,Coke et produits pétroliers raffinés,6,1
Commercial and service industry machinery manufacturing,Commercial and service industry machinery manufacturing,Fabrication de machines pour le commerce et les industries de services,9,1
Communications equipment manufacturing,Communications equipment manufacturing,Fabrication de matériel de communication,6,1
Computer and electronic product manufacturing,Computer and electronic product manufacturing,Fabrication de produits informatiques et électroniques,9,1
Computer and peripheral equipment manufacturing,Computer and peripheral equipment manufacturing,Fabrication de matériel informatique et périphérique,5,1
"Computer, electronic and optical products","Computer, electronic and optical products","Produits informatiques, électroniques et optiques",6,1
Construction (NAICS 23),Construction (NAICS 23),Construction (SCIAN 23),4,1
Converted paper product manufacturing,Converted paper product manufacturing,Fabrication de produits en papier transformé,6,1
Cut and sew clothing manufacturing,Cut and sew clothing manufacturing,Fabrication de vêtements coupés-cousus,7,1
Cutlery and hand tool manufacturing,Cutlery and hand tool manufacturing,Fabrication de coutellerie et d'outils à main,5,1
Dairy product manufacturing,Dairy product manufacturing,Fabrication de produits laitiers,9,1
Durable goods,Durable goods,Biens durables,12,1
Electric lighting equipment manufacturing,Electric lighting equipment manufacturing,Fabrication de matériel électrique d'éclairage,4,1
"Electrical equipment, appliance and component manufacturing","Electrical equipment, appliance and component manufacturing","Fabrication de matériel, d'appareils et de composants électriques",9,1
Electrical equipment manufacturing,Electrical equipment manufacturing,Fabrication de matériel électrique,8,1
Electrical equipment,Electrical equipment,Matériel électrique,6,1
"Engine, turbine and power transmission equipment manufacturing","Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",5,1
Fabric mills,Fabric mills,Usines de tissus,3,1
Fabricated metal product manufacturing,Fabricated metal product manufacturing,Fabrication de produits métalliques,11,1
"Fabricated metal products, except machinery","Fabricated metal products, except machinery","Ouvrages en métaux, à l’exception des machines",6,1
"Fibre, yarn and thread mills","Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",4,1
Food manufacturing,Food manufacturing,Fabrication d’aliments,11,1
Food products,Food products,Produits alimentaires,6,1
Footwear manufacturing,Footwear manufacturing,Fabrication de chaussures,5,1
Forging and stamping,Forging and stamping,Forgeage et estampage,4,1
Foundries,Foundries,Fonderies,5,1
Fruit and vegetable preserving and specialty food manufacturing,Fruit and vegetable preserving and specialty food manufacturing,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,7,1
Furniture and related product manufacturing,Furniture and related product manufacturing,Fabrication de meubles et de produits connexes,11,1
Furniture,Furniture,Mobilier,6,1
Glass and glass product manufacturing,Glass and glass product manufacturing,Fabrication de verre et de produits en verre,7,1
Grain and oilseed milling,Grain and oilseed milling,Mouture de grains céréaliers et de graines oléagineuses,7,1
Hardware manufacturing,Hardware manufacturing,Fabrication d'articles de quincaillerie,5,1
Household and institutional furniture and kitchen cabinet manufacturing,Household and institutional furniture and kitchen cabinet manufacturing,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,10,1
Household appliance manufacturing,Household appliance manufacturing,Fabrication d'appareils ménagers,4,1
Industrial machinery manufacturing,Industrial machinery manufacturing,Fabrication de machines industrielles,10,1
Information and communication technologies (ICT),Information and communication technologies (ICT),Technologies de l’information et des communications (TIC),3,1
Iron and steel mills and ferro-alloy manufacturing,Iron and steel mills and ferro-alloy manufacturing,Sidérurgie,3,1
Knowledge-based industries (KBI),Knowledge-based industries (KBI),Industries fondées sur le savoir (IFS),3,1
Leather and allied product manufacturing,Leather and allied product manufacturing,Fabrication de produits en cuir et de produits analogues,7,1
Leather and hide tanning and finishing,Leather and hide tanning and finishing,Tannage et finissage du cuir et des peaux,4,1
Lime and gypsum product manufacturing,Lime and gypsum product manufacturing,Fabrication de chaux et de produits en gypse,7,1
