Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Business, finance and administration occupations, except management","Business, finance and administration occupations, except management","Affaires, finance et administration, sauf les gestionnaires",396,1
"Health occupations, except management","Health occupations, except management","Secteur de la santé, sauf les gestionnaires",396,1
Legislative and senior management occupations,Legislative and senior management occupations,Membres des corps législatifs et cadres supérieurs/cadres supérieures,11,1
Management occupations,Management occupations,Gestion,406,2
Middle management occupations in retail and wholesale trade and customer services,Middle management occupations in retail and wholesale trade and customer services,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",11,1
"Middle management occupations in trades, transportation, production and utilities","Middle management occupations in trades, transportation, production and utilities","Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",11,1
"Natural and applied sciences and related occupations, except management","Natural and applied sciences and related occupations, except management","Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",396,1
"Natural resources, agriculture and related production occupations, except management","Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",396,1
"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport, except management","Arts, culture, sports et loisirs, sauf les gestionnaires",396,1
"Occupations in education, law and social, community and government services, except management","Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",396,1
"Occupations in manufacturing and utilities, except management","Occupations in manufacturing and utilities, except management","Fabrication et services d'utilité publique, sauf les gestionnaires",396,1
"Sales and service occupations, except management","Sales and service occupations, except management","Vente et services, sauf les gestionnaires",396,1
Specialized middle management occupations,Specialized middle management occupations,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,11,1
"Total employees, all occupations","Total employees, all occupations","Total des employés, toutes les professions",395,1
"Trades, transport and equipment operators and related occupations, except management","Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",396,1
