Value,en,fr,Disaggregation combinations using this value,Number of indicators
All persons,All persons,Toutes les personnes,44,2
"Females, 18 to 64 years","Females, 18 to 64 years","Femmes, 18 à 64 ans",42,2
"Females, 65 years and over","Females, 65 years and over","Femmes, 65 ans et plus",42,2
"Females, under 18 years","Females, under 18 years","Femmes, moins de 18 ans",42,2
Females,Females,Femmes,42,2
"Males, 18 to 64 years","Males, 18 to 64 years","Hommes, 18 à 64 ans",42,2
"Males, 65 years and over","Males, 65 years and over","Hommes, 65 ans et plus",42,2
"Males, under 18 years","Males, under 18 years","Hommes, moins de 18 ans",42,2
Males,Males,Hommes,42,2
Persons 18 to 64 years,Persons 18 to 64 years,Personnes de 18 à 64 ans,44,2
Persons 65 years and over,Persons 65 years and over,Personnes de 65 ans et plus,44,2
Persons under 18 years,Persons under 18 years,Personnes de moins de 18 ans,44,2
