Value,en,fr,Disaggregation combinations using this value,Number of indicators
Alberta,Alberta,Alberta,1,1
British Columbia,British Columbia,Colombie-Britannique,1,1
Manitoba,Manitoba,Manitoba,1,1
New Brunswick,New Brunswick,Nouveau-Brunswick,1,1
Newfoundland and Labrador,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,1
Northwest Territories,Northwest Territories,Territoires du Nord-Ouest,1,1
Nova Scotia,Nova Scotia,Nouvelle-Écosse,1,1
Nunavut,Nunavut,Nunavut,1,1
Ontario,Ontario,Ontario,1,1
Prince Edward Island,Prince Edward Island,Île-du-Prince-Édouard,1,1
Quebec,Quebec,Québec,1,1
Saskatchewan,Saskatchewan,Saskatchewan,1,1
Yukon,Yukon,Yukon,1,1
