Value,en,fr,Disaggregation combinations using this value,Number of indicators
Agricultural water resources,Agricultural water resources,Ressources en eau à usage agricole,1,1
Biofuel-fired power plants,Biofuel-fired power plants,Centrales à biocombustibles,1,1
"Energy generation, renewable sources - multiple technologies","Energy generation, renewable sources - multiple technologies","Production d'énergie, sources renouvelables - multiples technologies",1,1
Energy research,Energy research,Recherche dans le domaine de l'énergie,1,1
Geothermal energy,Geothermal energy,Énergie géothermique,1,1
Hydro-electric power plants,Hydro-electric power plants,Centrales hydrauliques,1,1
Solar energy for centralised grids,Solar energy for centralised grids,Énergie solaire pour réseaux centralisés,1,1
Solar energy for isolated grids and standalone systems,Solar energy for isolated grids and standalone systems,Énergie solaire pour réseaux isolés et systèmes autonomes,1,1
Solar energy - thermal applications,Solar energy - thermal applications,Énergie solaire - usage thermique,1,1
Water supply and sanitation,Water supply and sanitation,Distribution d'eau et assainissement,1,1
Wind energy,Wind energy,Énergie éolienne,1,1
