Value,en,fr,Disaggregation combinations using this value,Number of indicators
15 to 24 years,15 to 24 years,15 à 24 ans,20,1
25 to 64 years,25 to 64 years,25 à 64 ans,20,1
65 years and over,65 years and over,65 ans et plus,20,1
First generation,First generation,Première génération,20,1
"First official language spoken, English only","First official language spoken, English only","Première langue officielle parlée, anglais seulement",20,1
"First official language spoken, French only","First official language spoken, French only","Première langue officielle parlée, français seulement",20,1
Immigrants,Immigrants,Immigrants,20,1
Men,Men,Hommes,20,1
Non-Immigrants,Non-immigrants,Non-immigrants,20,1
Postsecondary certificate or diploma (non-university),Postsecondary certificate or diploma (non-university),Diplôme ou certificat postsecondaire (non universitaire),20,1
Second generation,Second generation,Deuxième génération,20,1
Secondary (high) school diploma or equivalency certificate or less,Secondary (high) school diploma or equivalency certificate or less,Diplôme d'études secondaires ou attestation d'équivalence ou moins,20,1
Third generation or more,Third generation or more,Troisième génération ou plus,20,1
"Total, 15 years and over","Total, 15 years and over","Total, 15 ans et plus",20,1
University certificate or diploma,University certificate or diploma,Certificat ou diplôme universitaire,20,1
Women,Women,Femmes,20,1
