Value,en,fr,Disaggregation combinations using this value,Number of indicators
5G,5G,5G,1,1
Above-ground biomass stock in forest,Above-ground biomass stock in forest,Stock de biomasse aérienne en forêt,1,1
Access to basic drinking water services,Access to basic drinking water services,Accès aux services d’eau potable de base,1,1
Access to basic education,Access to basic education,Accès à l'éducation de base,12,1
Access to basic information services,Access to basic information services,Accès aux services d’information de base,4,1
Access to basic mobility,Access to basic mobility,Accès à la mobilité de base,14,1
Access to basic sanitation services,Access to basic sanitation services,Accès aux services d’assainissement de base,1,1
Access to basic waste collection services,Access to basic waste collection services,Accès aux services de base de la collecte des déchets,36,1
Access to clean fuels and technology,Access to clean fuels and technology,Accès à des carburants et technologies propres,1,1
Accessions of plant genetic resources secured in conservation facilities,Accessions of plant genetic resources secured in conservation facilities,Accessions de ressources phytogénétiques dans les établissements de conservation,1,1
Agriculture orientation index for government expenditures,Agriculture orientation index for government expenditures,Indice d’orientation agricole des dépenses publiques,1,1
Agriculture share of Government Expenditure,Agriculture share of Government Expenditure,Part de l’agriculture dans les dépenses publiques (%),1,1
Agriculture value added share of GDP,Agriculture value added share of GDP,Part de la valeur ajoutée de l’agriculture dans le PIB (%),1,1
Air freight volume,Air freight volume,Volume de fret aérien,1,1
Air passengers,Air passengers,Passagers aériens,1,1
By species group,By species group,Par groupe d'espèces,4,1
By system,By system,Par système,4,1
Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,3,1
Children in Grade 4 achieving at least a minimum proficiency level in reading,Children in Grade 4 achieving at least a minimum proficiency level in reading,Enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,3,1
Completion rate,Completion rate,Taux d'achèvement,5,1
Current status score,Current score,Score de statut actuel,1,1
Educational attainment rate,Educational attainment rate,Taux de scolarité,39,1
Evolved High-Speed Packet Access (HSPA+),Evolved High-Speed Packet Access (HSPA+),Accès haute vitesse évolué par paquets (HSPA+),1,1
Fatality claims,Fatality claims,Réclamations de décès,3,1
Forest area as a proportion of total land area,Forest area as a proportion of total land area,Superficie forestière en proportion de la superficie terrestre totale,1,1
Forest area net change rate,Forest area net change rate,Taux de variation nette de la superficie forestière,1,1
Forest area under an independently verified forest management certification scheme,Forest area under an independently verified forest management certification scheme,"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",1,1
Forest area,Forest area,Superficie forestière,1,1
"Health worker density, by type of occupation (per 10,000 population)","Health worker density, by type of occupation (per 10,000 population)","Densité du personnel de santé, par type de profession (pour 10 000 habitants)",56,1
"Health worker distribution, by sex and type of occupation","Health worker distribution, by sex and type of occupation","Répartition du personnel de santé, par sexe et par type de profession",56,1
Household expenditure per capita,Household expenditure per capita,Dépenses des ménages par habitant,33,1
Income per capita,Income per capita,Revenu par habitant,55,1
Land area,Land area,Superficie terrestre,1,1
Land consumption rate,Land consumption rate,Taux de consommation des terres,32,1
Leprosy,Leprosy,Lèpre,4,1
Local breeds stored in genebank,Local breeds stored in genebank,Variétés et races locales conservées dans la banque de gènes,1,1
Long-Term Evolution - A (LTE-A),Long-Term Evolution - A (LTE-A),Évolution à long terme - A (LTE-A),1,1
Long-Term Evolution (LTE),Long-Term Evolution (LTE),Évolution à long terme (LTE),1,1
Lost time claims,Lost time claims,Réclamations de pertes de temps,4,1
MVA as a proportion of GDP,MVA as a proportion of GDP,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,14,1
MVA per capita,MVA per capita,Valeur ajoutée dans l’industrie manufacturière par habitant,14,1
"Number of automated teller machines (ATMs) per 100,000 adults","Number of automated teller machines (ATMs) per 100,000 adults",Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,1,1
"Number of commercial bank branches per 100,000 adults","Number of commercial bank branches per 100,000 adults",Nombre de succursales de banques commerciales par 100 000 adultes,1,1
Number of fixed Internet broadband subscriptions,Number of fixed Internet broadband subscriptions,"Abonnements à une connexion à Internet à haut débit fixe
",1,1
"Overall approval rate, line of credit","Overall approval rate, line of credit","Taux général d’approbation, marge de crédit",30,1
"Overall approval rate, term loan","Overall approval rate, term loan","Taux général d’approbation, prêt à terme",29,1
Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,4,1
Percent change in water-use efficiency over time (%),Percent change in water-use efficiency over time (%),Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),4,1
Physical violence,Physical violence,Violence physique,28,2
Population growth rate,Population growth rate,Taux de croissance démographique,32,1
Proportion of children covered by social protection benefits,Proportion of children covered by social protection benefits,Proportion d'enfants couverts par des prestations de protection sociale,1,1
Proportion of forest area located within legally established protected areas,Proportion of forest area located within legally established protected areas,Proportion de la superficie forestière située dans des aires protégées légalement établies,1,1
Proportion of forest area under a long-term forest management plan,Proportion of forest area under a long-term forest management plan,Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,1,1
