Value,en,fr,Disaggregation combinations using this value,Number of indicators
Bisexual or pansexual,Bisexual or pansexual,Bisexuel ou pansexuel,33,1
Bisexual,Bisexual,Bisexuel,3,2
Gay or lesbian,Gay or lesbian,Gai ou lesbienne,1,1
Heterosexual,Heterosexual,Hétérosexuel,128,3
Lesbian or gay,Lesbian or gay,Lesbienne ou gai,29,2
"Not stated, sexual orientation","Not stated, sexual orientation",Orientation sexuelle non précisée,46,1
Sexual minority,Sexual minority,Minorité sexuelle,63,1
Sexual orientation not elsewhere classified,Sexual orientation not elsewhere classified,Orientation sexuelle non classée ailleurs,3,2
Sexual orientation not stated,Sexual orientation not stated,Orientation sexuelle non précisée,1,1
"Total, sexual orientation","Total, sexual orientation","Total, orientation sexuelle",125,1
