Value,en,fr,Disaggregation combinations using this value,Number of indicators
Agriculture,Agriculture,Agriculture,13,1
Buildings,Buildings,Bâtiments,14,1
Heavy Industry,Heavy Industry,Industrie lourde,14,1
Industries,Industries,Industries,7,1
"Light Manufacturing, Construction and Forest Resources","Light Manufacturing, Construction and Forest Resources","Fabrication légère, construction et ressources forestières",14,1
Municipal,Municipal,Municipale,7,1
Oil and Gas,Oil and Gas,Exploitation pétrolière et gazière,13,1
Provincial Inventory Total,Provincial Inventory Total,Inventaire provincial,10,1
Territorial Inventory Total,Territorial Inventory Total,Inventaire territorial,3,1
Transport,Transport,Transports,14,1
Waste,Waste,Déchets et autres,14,1
