Value,en,fr,Disaggregation combinations using this value,Number of indicators
Any tobacco product,Any tobacco product,Tout produit du tabac,17,1
Chewing tobacco,Chewing tobacco,Tabac à chiquer,10,1
Cigarettes,Cigarettes,Cigarettes,18,1
Cigars,Cigars,Cigares,15,1
E-cigarettes,E-cigarettes,Cigarettes électroniques,8,1
Little cigars or cigarillos,Little cigars or cigarillos,Petits cigares ou cigarillos,18,1
Pipe,Pipe,Pipe,9,1
Smokeless tobacco,Smokeless tobacco,Tabac sans fumée,5,1
Vaping,Vaping,Vapotage,18,1
Water pipe with tobacco,Water pipe with tobacco,Pipe à eau avec du tabac,11,1
