Value,en,fr,Disaggregation combinations using this value,Number of indicators
Epidemic,Epidemic,Épidémie,2,2
Flood,Flood,Inondation,8,5
Heat Event,Heat Event,Épisode de chaleur,8,5
Hurricane / Typhoon / Tropical Storm,Hurricane / Typhoon / Tropical Storm,Ouragan / ouragan / tempête tropicale,6,3
Landslide,Landslide,Éboulement,2,2
Storm - Unspecified / Other,Storm - Unspecified / Other,Tempête-non précisée/autre,8,5
Storms and Severe Thunderstorms,Storms and Severe Thunderstorms,Orages et orages graves,8,5
Tornado,Tornado,Tornade,8,5
Wildfire,Wildfire,Feu de forêt,8,5
Winter Storm,Winter Storm,Tempête hivernale,8,5
