Value,en,fr,Disaggregation combinations using this value,Number of indicators
Adjusted gender parity index,Adjusted gender parity index,Indice de parité entre les sexes ajusté,32,1
Adjusted location parity index,Adjusted location parity index,Indice de parité entre milieu urbain et rural ajusté,23,1
Adjusted wealth parity index,Adjusted wealth parity index,Indice de parité de richesse ajusté,5,1
Current dollars,Current dollars,Dollars courants,14,1
Hectares (Millions),Hectares (Millions),Hectares (Millions),1,1
Hectares,Hectares,Hectares,2,1
Index,Index,Indice,2,2
Metric tonnes,Metric tonnes,Tonnes métriques,3,1
Million cubic metres,Million cubic metres,Millions de mètres cubes,8,1
"Mortality rate per 1,000 live births","Mortality rate per 1,000 live births",Taux de mortalité pour 1 000 naissances vivantes,3,1
Number of deaths,Number of deaths,Nombre de décès,3,1
Number of passengers,Number of passengers,Nombre de passagers,2,1
Number,Number,Nombre,30,5
Percent change (%),Percent change (%),Variation en pourcentage (%),4,1
Percentage (%),Percentage (%),Pourcentage (%),278,14
"Rate per 10,000 population","Rate per 10,000 population",Taux pour 10 000 personnes,56,1
"Rate per 100,000 population","Rate per 100,000 population",Taux pour 100 000 personnes,27,3
Ratio,Ratio,Ratio,32,1
Score,Score,Score,2,1
Tonnes,Tonnes,Tonnes,36,1
Tonnes/hectare,Tonnes/hectare,Tonnes/hectare,1,1
"US dollar, Millions, 2022 constant prices","US dollar, Millions, 2022 constant prices","Dollar américain, millions, prix constants de 2022",3,1
USD per cubic metre,USD per cubic metre,Dollars américains par mètre cube,4,1
