Value,en,fr,Disaggregation combinations using this value,Number of indicators
Arab,Arab,Arabe,98,5
Black,Black,Noir,153,5
Chinese,Chinese,Chinois,143,5
Filipino,Filipino,Philippin,127,5
Korean,Korean,Coréen,4,2
Latin American,Latin American,Latino-Américain,102,5
Multiple visible minorities,Multiple visible minorities,Minorités visible multiples,24,2
Non-visible minority,Non-visible minority,N’appartenant pas à une minorité visible,2,1
Not a visible minority,Not a visible minority,Pas une minorité visible,303,7
"Not stated, visible minority population","Not stated, visible minority population",Population des minorités visibles non précisée,14,1
Other visible minority,Other visible minority,Autre minorité visible,42,1
South Asian,South Asian,Sud-Asiatique,144,5
Southeast Asian,Southeast Asian,Asiatique du Sud-Est,70,5
"Total, by visible minority group","Total, by visible minority group","Total, selon le groupe de minorité visible",40,2
Total population,Total population,Population totale,39,2
Total visible minority population,Total visible minority population,Total de la population des minorités visibles,40,2
"Total, visible minority population","Total, visible minority population","Total, population des minorités visibles",125,1
Visible minority population,Visible minority population,Population des minorités visibles,205,4
Visible minority,Visible minority,Minorité visible,3,2
West Asian,West Asian,Asiatique occidental,4,2
