Value,en,fr,Disaggregation combinations using this value,Number of indicators
Aquifer management instruments,Aquifer management instruments,Instruments de gestion des aquifères,1,1
Arrangements for transboundary water management in most important basins and aquifers,Arrangements for transboundary water management in most important basins and aquifers,Dispositions relatives à la gestion transfrontalière des eaux dans les bassins et aquifères les plus importants,1,1
Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,Organisations au niveau des bassins et des aquifères chargées de diriger la mise en œuvre des plans de gestion intégrée des ressources en eau (GIRE,1,1
Basin and aquifer management plans,Basin and aquifer management plans,Plans de gestion des bassins et des aquifères,1,1
Basin management instruments,Basin management instruments,Instruments de gestion des bassins,1,1
"Coordination between national government authorities representing different sectors on water resources, policy, planning and management","Coordination between national government authorities representing different sectors on water resources, policy, planning and management","Coordination entre les autorités gouvernementales nationales représentant différents secteurs en matière de ressources en eau, de politique, de planification et de gestion",1,1
Data and information sharing within countries at all levels,Data and information sharing within countries at all levels,Partage des données et des informations au sein des pays à tous les niveaux,1,1
Developing integrated water resources management (IWRM) capacity at the national level,Developing integrated water resources management (IWRM) capacity at the national level,Développement des capacités de gestion intégrée des ressources en eau (GIRE) au niveau national,1,1
Financing for transboundary cooperation,Financing for transboundary cooperation,Financement de la coopération transfrontalière,1,1
Gender mainstreaming in water resources management,Gender mainstreaming in water resources management,Intégration de la dimension de genre dans la gestion des ressources en eau,1,1
Management instruments to reduce impacts of water-related disasters from the national level,Management instruments to reduce impacts of water-related disasters from the national level,Instruments de gestion visant à réduire les impacts des catastrophes liées à l'eau au niveau national,1,1
Management of water-related ecosystems from the national level,Management of water-related ecosystems from the national level,Gestion des écosystèmes liés à l'eau au niveau national,1,1
National budget for investment including water resources infrastructure,National budget for investment including water resources infrastructure,"Budget national pour les investissements, y compris les infrastructures liées aux ressources en eau",1,1
National budget for the recurrent costs of the integrated water resources management (IWRM) elements,National budget for the recurrent costs of the integrated water resources management (IWRM) elements,Budget national pour les coûts récurrents des éléments de la gestion intégrée des ressources en eau (GIRE),1,1
National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,Capacité des autorités gouvernementales nationales à diriger la mise en œuvre des plans nationaux de gestion intégrée des ressources en eau (GIRE),1,1
National integrated water resources management (IWRM) plans,National integrated water resources management (IWRM) plans,Plans nationaux de gestion intégrée des ressources en eau (GIRE),1,1
National monitoring of water availability,National monitoring of water availability,Surveillance nationale de la disponibilité de l'eau,1,1
National water resources law,National water resources law,Législation nationale sur les ressources en eau,1,1
National water resources policy,National water resources policy,Politique nationale en matière de ressources en eau,1,1
Organizational framework for transboundary water management for most important basins and aquifers,Organizational framework for transboundary water management for most important basins and aquifers,Cadre organisationnel pour la gestion transfrontalière des eaux des bassins et aquifères les plus importants,1,1
Participation of vulnerable groups in water resources planning and management,Participation of vulnerable groups in water resources planning and management,Participation des groupes vulnérables à la planification et à la gestion des ressources en eau,1,1
Pollution control from the national level,Pollution control from the national level,Contrôle de la pollution au niveau national,1,1
"Private Sector participation in water resources development, management and use at national level","Private Sector participation in water resources development, management and use at national level","Participation du secteur privé au développement, à la gestion et à l'utilisation des ressources en eau au niveau national",1,1
"Public participation in water resources, policy, planning and management at national level","Public participation in water resources, policy, planning and management at national level","Participation du public aux ressources en eau, à la politique, à la planification et à la gestion au niveau national",1,1
"Public participation in water resources, policy, planning and management at the local level","Public participation in water resources, policy, planning and management at the local level","Participation du public aux ressources en eau, à la politique, à la planification et à la gestion au niveau local",1,1
"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels","Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels","Revenus provenant de taxes spécifiques prélevées sur les utilisateurs d'eau au niveau des bassins, des aquifères ou des régions sous-nationales",1,1
Sub-national authorities for leading IWRM implementation,Sub-national authorities for leading IWRM implementation,Autorités sous-nationales chargées de diriger la mise en œuvre de la GIRE,1,1
Sub-national or basin budgets for investment including water resources infrastructure,Sub-national or basin budgets for investment including water resources infrastructure,"Budgets sous-nationaux ou de bassins pour les investissements, y compris les infrastructures liées aux ressources en eau",1,1
Sub-national or basin budgets for IWRM elements,Sub-national or basin budgets for IWRM elements,Budgets sous-nationaux ou de bassins pour les éléments de la GIRE,1,1
Sub-national water resources policies,Sub-national water resources policies,Politiques sous-nationales en matière de ressources en eau,1,1
Sub-national water resources regulations,Sub-national water resources regulations,Réglementations sous-nationales sur les ressources en eau,1,1
Sustainable and efficient water use management from the national level,Sustainable and efficient water use management from the national level,Gestion durable et efficace de l'utilisation de l'eau au niveau national,1,1
Transboundary data and information sharing between countries,Transboundary data and information sharing between countries,Partage transfrontalier de données et d'informations entre les pays,1,1
